"issue","treated","accuracy","preference","republican","age","gov_exp"
"Needle Exchange",0,0.5,0.167,1,NA,6
"Needle Exchange",1,0.75,0,0,64,32
"Needle Exchange",0,0.5,0.167,1,51,7
"Needle Exchange",1,0.75,0.667,1,NA,24
"Needle Exchange",1,1,1,NA,NA,16
"Needle Exchange",1,1,0.833,NA,47,10
"Needle Exchange",0,0.25,0.667,1,56,9
"Needle Exchange",0,1,1,0,69,45
"Needle Exchange",1,0.75,0.833,1,NA,46
"Needle Exchange",0,1,0.5,1,37,NA
"Needle Exchange",1,0.5,0.667,1,NA,30
"Needle Exchange",1,1,1,1,46,10
"Needle Exchange",0,0.5,0.5,1,NA,8
"Needle Exchange",0,0.75,0.667,1,59,29
"Needle Exchange",1,0.25,0.5,1,NA,55
"Needle Exchange",1,1,0.333,1,36,5
"Needle Exchange",1,1,0.5,1,NA,26
"Needle Exchange",1,1,1,NA,NA,8
"Needle Exchange",0,0.75,0,1,37,2
"Needle Exchange",0,0.5,0,1,49,4
"Needle Exchange",0,0.5,0.667,0,63,33
"Needle Exchange",1,0,0.833,0,64,45
"Needle Exchange",0,0,0.5,1,NA,25
"Needle Exchange",1,0.25,0.667,1,NA,25
"Needle Exchange",1,0.75,0.833,1,67,8
"Needle Exchange",0,0.75,0,0,NA,30
"Needle Exchange",0,0.5,0.5,1,NA,11
"Needle Exchange",0,0.75,0,1,41,19
"Needle Exchange",0,0.5,0.833,0,23,2
"Needle Exchange",1,1,1,0,72,7
"Needle Exchange",1,0.75,0,1,58,22
"Needle Exchange",1,1,0,1,59,6
"Needle Exchange",0,1,1,0,NA,3
"Needle Exchange",0,0.5,0.667,0,NA,30
"Needle Exchange",0,0,0.5,NA,71,14
"Needle Exchange",1,0.75,0.667,1,NA,4
"Needle Exchange",1,1,0.833,0,NA,18
"Needle Exchange",0,1,1,0,NA,2
"Needle Exchange",0,0,0,NA,NA,49
"Needle Exchange",1,0.5,0.667,1,24,1.5
"Needle Exchange",0,0.75,0.333,1,35,5
"Needle Exchange",1,1,0.833,1,NA,6
"Needle Exchange",1,1,0.833,0,66,30
"Needle Exchange",1,1,1,0,37,10
"Needle Exchange",1,1,1,0,49,9
"Needle Exchange",1,0,0.167,1,48,5
"Needle Exchange",1,1,1,0,NA,2
"Needle Exchange",1,1,0.667,1,NA,20
"Needle Exchange",0,0.5,0.667,NA,NA,4
"Needle Exchange",1,0.75,1,0,72,20
"Needle Exchange",0,1,1,0,NA,8
"Needle Exchange",1,1,0.833,0,25,2.5
"Needle Exchange",0,1,0.833,1,56,22
"Needle Exchange",0,0.75,0.833,1,NA,3
"Needle Exchange",1,0.5,0.167,1,NA,5
"Needle Exchange",0,0.5,0.167,1,52,1.5
"Needle Exchange",0,0.5,0.667,0,66,30
"Needle Exchange",1,0.75,0.833,NA,66,10
"Needle Exchange",1,1,1,0,NA,27
"Needle Exchange",0,1,1,1,NA,8
"Needle Exchange",1,1,1,0,NA,4
"Needle Exchange",1,0.75,0.333,1,47,9
"Needle Exchange",1,1,0.667,1,NA,5
"Needle Exchange",1,0.25,0.5,1,NA,20
"Needle Exchange",1,0.75,0.667,1,64,29
"Needle Exchange",0,0.5,0,1,34,13
"Needle Exchange",0,0.75,1,1,82,22
"Needle Exchange",1,1,0.833,0,25,2
"Needle Exchange",1,0.75,0.167,1,74,52
"Needle Exchange",0,1,0.5,0,NA,11
"Needle Exchange",0,1,0.833,0,24,1
"Needle Exchange",0,1,1,0,63,8
"Needle Exchange",1,0.5,0.667,1,35,12
"Needle Exchange",1,1,0.833,0,48,4
"Needle Exchange",1,0,1,1,NA,9
"Needle Exchange",1,0,0.5,0,50,25
"Needle Exchange",0,1,0.833,1,NA,9
"Needle Exchange",1,0.75,0.167,1,NA,2
"Needle Exchange",0,1,0.5,1,NA,10
"Needle Exchange",0,0.25,0.667,1,54,5
"Needle Exchange",1,0.75,0.333,1,57,8
"Needle Exchange",0,1,1,0,51,2
"Needle Exchange",0,0,0.667,0,NA,18
"Needle Exchange",1,1,1,0,NA,6.25
"Needle Exchange",1,0.75,0.167,1,NA,5
"Needle Exchange",0,0.5,0.5,0,NA,9
"Needle Exchange",0,0,1,1,NA,8
